Census Tract Area,Status,NTA Name,geometry,Median Family Income,SNAP Benefits %,Education below high school diploma,Pop earning <=40K,Food Index
110600,LILA Zone,East New York-New Lots,"{'type': 'Polygon', 'coordinates': (((-73.88778599999999, 40.657683), (-73.884582, 40.659061), (-73.88291199999999, 40.659781), (-73.88182599999999, 40.658308), (-73.880813, 40.656945), (-73.882511, 40.656213), (-73.88568099999999, 40.65485), (-73.88668899999999, 40.656205), (-73.88778599999999, 40.657683)),)}",25479,0.677194834,0.288626611,0.616589844,0.118714286
53300,LILA Zone,South Williamsburg,"{'type': 'Polygon', 'coordinates': (((-73.960341, 40.703437), (-73.959338, 40.705181), (-73.95864, 40.706477), (-73.958456, 40.707252), (-73.95633699999999, 40.705439), (-73.955074, 40.704312), (-73.953812, 40.703181), (-73.955724, 40.701946), (-73.95745699999999, 40.700822), (-73.95807099999999, 40.701398), (-73.95868899999999, 40.701953), (-73.95988899999999, 40.703032), (-73.960341, 40.703437)),)}",28091,0.519595444,0.232195839,0.585029066,0.228382353
50900,LILA Zone,South Williamsburg,"{'type': 'Polygon', 'coordinates': (((-73.953812, 40.703181), (-73.95190000000001, 40.704418), (-73.950237, 40.705473), (-73.94983599999999, 40.705229), (-73.949254, 40.704896), (-73.947853, 40.704111), (-73.947052, 40.703664), (-73.949379, 40.70215899999999), (-73.95128799999999, 40.700922), (-73.951921, 40.701487), (-73.952551, 40.702051), (-73.953181, 40.702617), (-73.953812, 40.703181)),)}",37132,0.467045456,0.392024547,0.56123662,0.160504202
91200,LILA Zone,Brownsville,"{'type': 'Polygon', 'coordinates': (((-73.91009, 40.667154), (-73.90635499999999, 40.667708), (-73.905971, 40.666181), (-73.90557799999999, 40.664659), (-73.90517299999999, 40.663106), (-73.906138, 40.66296699999999), (-73.90892, 40.662554), (-73.909305, 40.664097), (-73.909699, 40.665628), (-73.91009, 40.667154)),)}",25859,0.672068238,0.295879126,0.51332289,0.125428571
2901,LILA Zone,Fort Greene,"{'type': 'Polygon', 'coordinates': (((-73.98038799999999, 40.696507), (-73.978381, 40.696492), (-73.97739, 40.696419), (-73.976443, 40.696371), (-73.976188, 40.695098), (-73.975987, 40.694089), (-73.975848, 40.693361), (-73.97782699999999, 40.693438), (-73.979168, 40.693489), (-73.980139, 40.694683), (-73.980356, 40.696178), (-73.98038799999999, 40.696507)),)}",36875,0.611148894,0.331063181,0.641025662,0.109392857
12000,LILA Zone,Dyker Heights,"{'type': 'Polygon', 'coordinates': (((-74.016306, 40.635896), (-74.01190799999999, 40.633234), (-74.011326, 40.633795), (-74.010742, 40.634357), (-74.00702299999999, 40.63211), (-74.007739, 40.63163), (-74.008456, 40.63115), (-74.009224, 40.630634), (-74.010004, 40.630113), (-74.01513899999999, 40.63321699999999), (-74.015925, 40.633382), (-74.016752, 40.63544), (-74.016306, 40.635896)),)}",58269,0.215909094,0.571108639,0.47647059,0.321235294
121400,LILA Zone,East New York-City Line,"{'type': 'Polygon', 'coordinates': (((-73.86833, 40.668728), (-73.865554, 40.669122), (-73.862845, 40.669522), (-73.86242, 40.667783), (-73.862042, 40.666253), (-73.86751799999999, 40.665473), (-73.86788, 40.666996), (-73.86833, 40.668728)),)}",27044,0.626601577,0.223941371,0.68449682,0.086142857
117800,LILA Zone,Cypress Hills,"{'type': 'Polygon', 'coordinates': (((-73.877867, 40.682039), (-73.874105, 40.683104), (-73.872187, 40.683649), (-73.87156999999999, 40.681686), (-73.8712, 40.680222), (-73.87327599999999, 40.679921), (-73.873604, 40.681121), (-73.874871, 40.68082), (-73.87609599999999, 40.680456), (-73.87733899999999, 40.680055), (-73.87742899999999, 40.680017), (-73.877867, 40.682039)),)}",46094,0.347992361,0.32846716,0.62150538,0.301665966
22200,LILA Zone,Borough Park,"{'type': 'Polygon', 'coordinates': (((-73.99622699999999, 40.639331), (-73.99551, 40.63981), (-73.994795, 40.640288), (-73.994331, 40.6406), (-73.99407699999999, 40.64077), (-73.99140799999999, 40.639156), (-73.989206, 40.63782399999999), (-73.989789, 40.63726399999999), (-73.99037299999999, 40.636705), (-73.990956, 40.636145), (-73.991539, 40.635583), (-73.993738, 40.636914), (-73.99694199999999, 40.638853), (-73.99622699999999, 40.639331)),)}",40455,0.587831199,0.204516128,0.481257558,0.386153361
2000,LILA Zone,Sunset Park (West),"{'type': 'Polygon', 'coordinates': (((-74.01750899999999, 40.648533), (-74.01634299999999, 40.649656), (-74.01518399999999, 40.650773), (-74.01262899999999, 40.649235), (-74.013172, 40.648652), (-74.013733, 40.648079), (-74.014377, 40.647554), (-74.014932, 40.646982), (-74.01553299999999, 40.646418), (-74.016086, 40.645882), (-74.016651, 40.645331), (-74.019256, 40.646853), (-74.01750899999999, 40.648533)),)}",68529,0.283505142,0.520650804,0.372881353,0.169285714
49100,LILA Zone,East Williamsburg,"{'type': 'Polygon', 'coordinates': (((-73.94983599999999, 40.705229), (-73.947981, 40.705442), (-73.946265, 40.705604), (-73.94456699999999, 40.705021), (-73.94284999999999, 40.705182), (-73.942734, 40.704473), (-73.94103, 40.704637), (-73.940726, 40.702901), (-73.94042, 40.701077), (-73.941931, 40.700725), (-73.942201, 40.700891), (-73.94400499999999, 40.70196199999999), (-73.94545, 40.70276), (-73.945855, 40.702987), (-73.947052, 40.703664), (-73.947853, 40.704111), (-73.949254, 40.704896), (-73.94983599999999, 40.705229)),)}",42234,0.352807283,0.406689405,0.532850802,0.592796218
91000,LILA Zone,Brownsville,"{'type': 'Polygon', 'coordinates': (((-73.90635499999999, 40.667708), (-73.90446399999999, 40.667988), (-73.903573, 40.668128), (-73.902626, 40.668273), (-73.901668, 40.668413), (-73.900851, 40.665346), (-73.90041699999999, 40.663806), (-73.901451, 40.663659), (-73.90237599999999, 40.663517), (-73.90517299999999, 40.663106), (-73.90557799999999, 40.664659), (-73.905971, 40.666181), (-73.90635499999999, 40.667708)),)}",18804,0.685177445,0.467660099,0.61197108,0.164737395
105801,LILA Zone,Spring Creek-Starrett City,"{'type': 'Polygon', 'coordinates': (((-73.886282, 40.652756), (-73.884653, 40.653451), (-73.882213, 40.654498), (-73.881722, 40.653754), (-73.878436, 40.649327), (-73.874892, 40.645095), (-73.876082, 40.643293), (-73.876857, 40.643561), (-73.881481, 40.647601), (-73.882413, 40.64844), (-73.884113, 40.649956), (-73.884806, 40.650765), (-73.886282, 40.652756)),)}",40455,0.440379769,0.149691358,0.661258936,0.176142857
46201,LILA Zone,Flatbush (West)-Ditmas Park-Parkville,"{'type': 'Polygon', 'coordinates': (((-73.976578, 40.627574), (-73.97483199999999, 40.628412), (-73.971806, 40.629874), (-73.97156799999999, 40.629988), (-73.971374, 40.628966), (-73.971114, 40.627586), (-73.970922, 40.62657), (-73.972298, 40.626432), (-73.974149, 40.62621499999999), (-73.976235, 40.625976), (-73.97645, 40.627008), (-73.976578, 40.627574)),)}",80439,0.459734976,0.179452062,0.303178489,0.524705882
10000,LILA Zone,Sunset Park (Central),"{'type': 'Polygon', 'coordinates': (((-74.012649, 40.642866), (-74.011484, 40.643986), (-74.009281, 40.642657), (-74.00707899999999, 40.64132499999999), (-74.008242, 40.640205), (-74.00940899999999, 40.639085), (-74.011611, 40.64041599999999), (-74.013814, 40.641745), (-74.012649, 40.642866)),)}",37019,0.358708203,0.51538074,0.37490195,0.23282563
41700,LILA Zone,Bushwick (East),"{'type': 'Polygon', 'coordinates': (((-73.921154, 40.692796), (-73.919271, 40.694731), (-73.917818, 40.696208), (-73.91707099999999, 40.695782), (-73.916313, 40.695351), (-73.915562, 40.694922), (-73.914808, 40.694497), (-73.916257, 40.693022), (-73.917791, 40.69146), (-73.91861999999999, 40.69180799999999), (-73.919459, 40.692149), (-73.920301, 40.692485), (-73.921154, 40.692796)),)}",33005,0.481481493,0.335852623,0.576587796,0.258966387
2100,LILA Zone,Downtown Brooklyn-DUMBO-Boerum Hill,"{'type': 'Polygon', 'coordinates': (((-73.994498, 40.704318), (-73.993693, 40.704476), (-73.992722, 40.705544), (-73.989381, 40.705137), (-73.98727099999999, 40.705181), (-73.98653, 40.704979), (-73.984189, 40.705582), (-73.98308, 40.705519), (-73.979233, 40.705769), (-73.979171, 40.705301), (-73.980729, 40.701268), (-73.98285, 40.701359), (-73.98476099999999, 40.701439), (-73.986601, 40.700621), (-73.986798, 40.700617), (-73.98868399999999, 40.700699), (-73.98973, 40.700734), (-73.990935, 40.700767), (-73.992612, 40.702061), (-73.993267, 40.702435), (-73.995069, 40.703102), (-73.994498, 40.704318)),)}",244330,0.007759457,0.020142784,0.011838989,0.67760084
38200,LILA Zone,Gravesend (South),"{'type': 'Polygon', 'coordinates': (((-73.98464, 40.593552), (-73.98179, 40.593868), (-73.980711, 40.593997), (-73.978764, 40.592825), (-73.97847999999999, 40.589654), (-73.980938, 40.589376), (-73.983803, 40.589042), (-73.983901, 40.589573), (-73.98420399999999, 40.591166), (-73.98464, 40.593552)),)}",20350,0.771321476,0.398917466,0.724137962,0.14137605
43600,LILA Zone,Bensonhurst,"{'type': 'Polygon', 'coordinates': (((-73.980805, 40.614447), (-73.979638, 40.615565), (-73.977408, 40.614218), (-73.974777, 40.612638), (-73.974515, 40.61125699999999), (-73.974391, 40.61058), (-73.976372, 40.611769), (-73.97701099999999, 40.611173), (-73.979474, 40.612666), (-73.980707, 40.613402), (-73.981438, 40.613838), (-73.980805, 40.614447)),)}",62313,0.376344085,0.354910702,0.270664513,0.561672269
12200,LILA Zone,Sunset Park (Central),"{'type': 'Polygon', 'coordinates': (((-74.02019, 40.639145), (-74.01960799999999, 40.63970399999999), (-74.019024, 40.64026399999999), (-74.018422, 40.640846), (-74.016167, 40.639483), (-74.013961, 40.638153), (-74.014567, 40.637571), (-74.015146, 40.637014), (-74.01606799999999, 40.636139), (-74.016306, 40.635896), (-74.016752, 40.63544), (-74.018897, 40.636856), (-74.019554, 40.637091), (-74.021087, 40.638262), (-74.02019, 40.639145)),)}",38517,0.380038381,0.544341683,0.56444025,0.424189076
21200,LILA Zone,Dyker Heights,"{'type': 'Polygon', 'coordinates': (((-74.009224, 40.630634), (-74.008456, 40.63115), (-74.007739, 40.63163), (-74.00702299999999, 40.63211), (-74.004137, 40.630364), (-74.001931, 40.629033), (-74.002515, 40.628475), (-74.00309899999999, 40.627916), (-74.00435, 40.626711), (-74.006554, 40.62804), (-74.008754, 40.629371), (-74.010004, 40.630113), (-74.009224, 40.630634)),)}",42188,0.209748894,0.419829845,0.48336798,0.419739496
11600,LILA Zone,Sunset Park (East)-Borough Park (West),"{'type': 'Polygon', 'coordinates': (((-74.006751, 40.634745), (-74.006169, 40.635303), (-74.005003, 40.636425), (-74.00442, 40.636985), (-74.00267199999999, 40.638667), (-73.99980699999999, 40.636936), (-74.00195699999999, 40.635497), (-74.00410699999999, 40.63406), (-74.00556399999999, 40.633084), (-74.007356, 40.634164), (-74.006751, 40.634745)),)}",39808,0.282226563,0.51715374,0.454653919,0.177428571
120200,LILA Zone,East New York-City Line,"{'type': 'Polygon', 'coordinates': (((-73.86886799999999, 40.677156), (-73.86854699999999, 40.677206), (-73.86670099999999, 40.67747), (-73.864853, 40.67772), (-73.86390899999999, 40.67777), (-73.862028, 40.677886), (-73.861712, 40.676611), (-73.861318, 40.675021), (-73.861064, 40.674343), (-73.861764, 40.674233), (-73.864554, 40.675151), (-73.86725799999999, 40.676113), (-73.869776, 40.677027), (-73.86886799999999, 40.677156)),)}",45125,0.114726029,0.222222224,0.509216607,0.1185
